"Player","Team","Position","Type","Team","Bid","Pr","Date (CEST)","Gameweek"
"Tim Ream","FUL","D","Claim","Klimmania","11.00","5","Fri Feb 2, 2024, 12:00PM","23"
"Issa Diop","FUL","D","Drop","Klimmania","","5","Fri Feb 2, 2024, 12:00PM","23"
"Nelson Semedo","WOL","D,M","Claim","Poor Man's Pirlo","5.00","9","Fri Feb 2, 2024, 12:00PM","23"
"Nathan Ake","MCI","D","Drop","Poor Man's Pirlo","","9","Fri Feb 2, 2024, 12:00PM","23"
"Antoine Semenyo","BOU","M,F","Claim","Poor Man's Pirlo","0.00","6","Fri Feb 2, 2024, 12:00PM","23"
"Kai Havertz","ARS","M,F","Drop","Poor Man's Pirlo","","6","Fri Feb 2, 2024, 12:00PM","23"
"Kalvin Phillips","MCI/WHU","M","Claim","Redford United","5.00","2","Fri Feb 2, 2024, 12:00PM","23"
"Billy Gilmour","BHA","M","Drop","Redford United","","2","Fri Feb 2, 2024, 12:00PM","23"
"Timothy Castagne","LEI/FUL","D,M","Claim","Klimmania","13.00","3","Fri Feb 2, 2024, 12:00PM","23"
"Joseph Gomez","LIV","D","Drop","Klimmania","","3","Fri Feb 2, 2024, 12:00PM","23"
"Enes Unal","MCI/BOU","F","Claim","NOAD Athletic","2.00","3","Fri Feb 2, 2024, 12:00PM","23"
"Jean-Philippe Mateta","CRY","F","Drop","NOAD Athletic","","3","Fri Feb 2, 2024, 12:00PM","23"
"Kobbie Mainoo","MUN","M","Claim","Poor Man's Pirlo","7.00","3","Fri Feb 2, 2024, 12:00PM","23"
"Jack Grealish","MCI","M,F","Drop","Poor Man's Pirlo","","3","Fri Feb 2, 2024, 12:00PM","23"
"Armando Broja","CHE/FUL","F","Claim","Klimmania","11.00","1","Fri Feb 2, 2024, 12:00PM","23"
"Chris Wood","NOT","F","Drop","Klimmania","","1","Fri Feb 2, 2024, 12:00PM","23"
"Elijah Adebayo","LUT","F","Claim","Sjeeterboys","46.00","1","Fri Feb 2, 2024, 12:00PM","23"
"Nicolas Jackson","CHE","M,F","Drop","Sjeeterboys","","1","Fri Feb 2, 2024, 12:00PM","23"
"Conor Bradley","LIV","D","Claim","Athletic Club Bapao","23.00","3","Fri Feb 2, 2024, 12:00PM","23"
"Jack Hinshelwood","BHA","D,M","Drop","Athletic Club Bapao","","3","Fri Feb 2, 2024, 12:00PM","23"
"Chiedozie Ogbene","LUT","M,F","Claim","Athletic Club Bapao","16.00","1","Fri Feb 2, 2024, 12:00PM","23"
"Cody Gakpo","LIV","M,F","Drop","Athletic Club Bapao","","1","Fri Feb 2, 2024, 12:00PM","23"
"Andre Onana","MUN","G","Claim","Poor Man's Pirlo","7.00","1","Fri Feb 2, 2024, 12:00PM","23"
"Jose Sa","WOL","G","Drop","Poor Man's Pirlo","","1","Fri Feb 2, 2024, 12:00PM","23"
"Joao Gomes","WOL","M","Claim","Wilton Wankers","0.00","1","Fri Feb 2, 2024, 12:00PM","23"
"Zeki Amdouni","BUR","M,F","Drop","Wilton Wankers","","1","Fri Feb 2, 2024, 12:00PM","23"
"Harvey Barnes","NEW","M,F","Claim","BarcelOna '53","1.00","1","Fri Feb 2, 2024, 12:00PM","23"
"Facundo Buonanotte","BHA","M,F","Drop","BarcelOna '53","","1","Fri Feb 2, 2024, 12:00PM","23"
"Danny Welbeck","BHA","M,F","Claim","Redford United","1.00","1","Fri Feb 2, 2024, 12:00PM","23"
"James Milner","BHA","D,M","Drop","Redford United","","1","Fri Feb 2, 2024, 12:00PM","23"
"Ben Brereton","SHU","M,F","Claim","Klimmania","9.00","2","Fri Jan 26, 2024, 12:00PM","22"
"Luis Sinisterra","LEE/BOU","M,F","Drop","Klimmania","","2","Fri Jan 26, 2024, 12:00PM","22"
"Harry Maguire","MUN","D","Claim","BarcelOna '53","4.00","5","Fri Jan 26, 2024, 12:00PM","22"
"Ryan Yates","NOT","M","Drop","BarcelOna '53","","5","Fri Jan 26, 2024, 12:00PM","22"
"Dean Henderson","MUN/CRY","G","Claim","Nimma Koempels","0.00","2","Fri Jan 26, 2024, 12:00PM","22"
"James Trafford","BUR","G","Drop","Nimma Koempels","","2","Fri Jan 26, 2024, 12:00PM","22"
"Clement Lenglet","TOT/AVL","D","Claim","Redford United","1.00","2","Fri Jan 26, 2024, 12:00PM","22"
"Diego Carlos","AVL","D","Drop","Redford United","","2","Fri Jan 26, 2024, 12:00PM","22"
"Facundo Buonanotte","BHA","M,F","Claim","BarcelOna '53","4.00","3","Fri Jan 26, 2024, 12:00PM","22"
"Joelinton","NEW","M,F","Drop","BarcelOna '53","","3","Fri Jan 26, 2024, 12:00PM","22"
"Zeki Amdouni","BUR","M,F","Claim","Wilton Wankers","0.00","2","Fri Jan 26, 2024, 12:00PM","22"
"Joao Gomes","WOL","M","Drop","Wilton Wankers","","2","Fri Jan 26, 2024, 12:00PM","22"
"Jose Sa","WOL","G","Claim","Poor Man's Pirlo","0.00","2","Fri Jan 26, 2024, 12:00PM","22"
"Matt Turner","NOT","G","Drop","Poor Man's Pirlo","","2","Fri Jan 26, 2024, 12:00PM","22"
"Gustavo Hamer","SHU","M,F","Claim","NOAD Athletic","5.00","2","Fri Jan 26, 2024, 12:00PM","22"
"Noni Madueke","CHE","M,F","Drop","NOAD Athletic","","2","Fri Jan 26, 2024, 12:00PM","22"
"Billy Gilmour","BHA","M","Claim","Redford United","5.00","1","Fri Jan 26, 2024, 12:00PM","22"
"Aaron Wan-Bissaka","MUN","D","Drop","Redford United","","1","Fri Jan 26, 2024, 12:00PM","22"
"Jacob Murphy","NEW","M,F","Claim","Poor Man's Pirlo","10.00","1","Fri Jan 26, 2024, 12:00PM","22"
"Julio Enciso","BHA","M,F","Drop","Poor Man's Pirlo","","1","Fri Jan 26, 2024, 12:00PM","22"
"Jayden Bogle","SHU","D,M","Claim","NOAD Athletic","5.00","1","Fri Jan 26, 2024, 12:00PM","22"
"Benoit Badiashile","CHE","D","Drop","NOAD Athletic","","1","Fri Jan 26, 2024, 12:00PM","22"
"David Raya","BRF/ARS","G","Claim","BarcelOna '53","3.00","1","Fri Jan 26, 2024, 12:00PM","22"
"Djordje Petrovic","CHE","G","Drop","BarcelOna '53","","1","Fri Jan 26, 2024, 12:00PM","22"
"Luis Sinisterra","LEE/BOU","M,F","Claim","Klimmania","6.00","2","Fri Jan 19, 2024, 12:00PM","22"
"Keane Lewis-Potter","BRF","M,F","Drop","Klimmania","","2","Fri Jan 19, 2024, 12:00PM","22"
"Matt Turner","NOT","G","Claim","Poor Man's Pirlo","0.00","7","Fri Jan 19, 2024, 12:00PM","22"
"Dean Henderson","MUN/CRY","G","Drop","Poor Man's Pirlo","","7","Fri Jan 19, 2024, 12:00PM","22"
"Kai Havertz","ARS","M,F","Claim","Poor Man's Pirlo","5.00","1","Fri Jan 19, 2024, 12:00PM","22"
"Danny Ings","WHU","F","Drop","Poor Man's Pirlo","","1","Fri Jan 19, 2024, 12:00PM","22"
"Mateo Kovacic","MCI","M","Claim","NOAD Athletic","3.00","1","Fri Jan 19, 2024, 12:00PM","22"
"Zeki Amdouni","BUR","M,F","Drop","NOAD Athletic","","1","Fri Jan 19, 2024, 12:00PM","22"
"Tom Cairney","FUL","M","Claim","Klimmania","7.00","1","Fri Jan 19, 2024, 12:00PM","22"
"Alfie Doughty","LUT","D,M","Drop","Klimmania","","1","Fri Jan 19, 2024, 12:00PM","22"
"James Milner","BHA","D,M","Claim","Redford United","1.00","2","Fri Jan 12, 2024, 12:00PM","21"
"Emerson Royal","TOT","D,M","Drop","Redford United","","2","Fri Jan 12, 2024, 12:00PM","21"
"Zeki Amdouni","BUR","M,F","Claim","NOAD Athletic","4.00","3","Fri Jan 12, 2024, 12:00PM","21"
"Kai Havertz","ARS","M,F","Drop","NOAD Athletic","","3","Fri Jan 12, 2024, 12:00PM","21"
"Murillo","NOT","D,M","Claim","László Hofnár","14.00","3","Fri Jan 12, 2024, 12:00PM","21"
"Victor Lindelof","MUN","D","Drop","László Hofnár","","3","Fri Jan 12, 2024, 12:00PM","21"
"Curtis Jones","LIV","M","Claim","Mövenpickje FC","11.00","1","Fri Jan 12, 2024, 12:00PM","21"
"Tom Cairney","FUL","M","Drop","Mövenpickje FC","","1","Fri Jan 12, 2024, 12:00PM","21"
"Danny Ings","WHU","F","Claim","Poor Man's Pirlo","0.00","1","Fri Jan 12, 2024, 12:00PM","21"
"Lyle Foster","BUR","M,F","Drop","Poor Man's Pirlo","","1","Fri Jan 12, 2024, 12:00PM","21"
"Thomas Partey","ARS","D,M","Claim","Athletic Club Bapao","5.00","1","Fri Jan 12, 2024, 12:00PM","21"
"Timothy Castagne","LEI/FUL","D,M","Drop","Athletic Club Bapao","","1","Fri Jan 12, 2024, 12:00PM","21"
"Kurt Zouma","WHU","D","Claim","László Hofnár","16.00","1","Fri Jan 12, 2024, 12:00PM","21"
"Caoimhin Kelleher","LIV","G","Drop","László Hofnár","","1","Fri Jan 12, 2024, 12:00PM","21"
"Keane Lewis-Potter","BRF","M,F","Claim","Klimmania","15.00","1","Fri Jan 12, 2024, 12:00PM","21"
"Alex Scott","BOU","M","Drop","Klimmania","","1","Fri Jan 12, 2024, 12:00PM","21"
"Andreas Pereira","FUL","M","Claim","Sjeeterboys","31.00","1","Fri Jan 12, 2024, 12:00PM","21"
"Konstantinos Mavropanos","ARS/WHU","D","Drop","Sjeeterboys","","1","Fri Jan 12, 2024, 12:00PM","21"
"Aaron Wan-Bissaka","MUN","D","Claim","Redford United","1.00","1","Fri Jan 12, 2024, 12:00PM","21"
"Michael Keane","EVE","D","Drop","Redford United","","1","Fri Jan 12, 2024, 12:00PM","21"
"Radu Dragusin","TOT","D","Claim","Nimma Koempels","41.00","1","Fri Jan 12, 2024, 12:00PM","21"
"Saman Ghoddos","BRF","D,M,F","Drop","Nimma Koempels","","1","Fri Jan 12, 2024, 12:00PM","21"
"Leon Bailey","AVL","M,F","Claim","Redford United","5.00","3","Fri Jan 5, 2024, 12:00PM","21"
"Kobbie Mainoo","MUN","M","Drop","Redford United","","3","Fri Jan 5, 2024, 12:00PM","21"
"Emerson Royal","TOT","D,M","Claim","Redford United","5.00","2","Fri Jan 5, 2024, 12:00PM","21"
"Sander Berge","BUR","M","Drop","Redford United","","2","Fri Jan 5, 2024, 12:00PM","21"
"Konstantinos Mavropanos","ARS/WHU","D","Claim","Sjeeterboys","0.00","3","Fri Jan 5, 2024, 12:00PM","21"
"Igor Julio","BHA","D","Drop","Sjeeterboys","","3","Fri Jan 5, 2024, 12:00PM","21"
"Ryan Yates","NOT","M","Claim","BarcelOna '53","1.00","3","Fri Jan 5, 2024, 12:00PM","21"
"Alex Iwobi","EVE/FUL","M,F","Drop","BarcelOna '53","","3","Fri Jan 5, 2024, 12:00PM","21"
"Issa Diop","FUL","D","Claim","Klimmania","23.00","2","Fri Jan 5, 2024, 12:00PM","21"
"Cameron Archer","AVL/SHU","M,F","Drop","Klimmania","","2","Fri Jan 5, 2024, 12:00PM","21"
"Bernd Leno","FUL","G","Claim","Wilton Wankers","0.00","2","Fri Jan 5, 2024, 12:00PM","21"
"Andre Onana","MUN","G","Drop","Wilton Wankers","","2","Fri Jan 5, 2024, 12:00PM","21"
"Rodrigo Bentancur","TOT","M","Claim","BarcelOna '53","37.00","1","Fri Jan 5, 2024, 12:00PM","21"
"Willy Boly","NOT","D","Drop","BarcelOna '53","","1","Fri Jan 5, 2024, 12:00PM","21"
"Alphonse Areola","WHU","G","Claim","Klimmania","3.00","1","Fri Jan 5, 2024, 12:00PM","21"
"David Raya","BRF/ARS","G","Drop","Klimmania","","1","Fri Jan 5, 2024, 12:00PM","21"
"Noni Madueke","CHE","M,F","Claim","NOAD Athletic","19.00","1","Fri Jan 5, 2024, 12:00PM","21"
"Antony","MUN","M,F","Drop","NOAD Athletic","","1","Fri Jan 5, 2024, 12:00PM","21"
"Cody Gakpo","LIV","M,F","Claim","Athletic Club Bapao","19.00","1","Fri Jan 5, 2024, 12:00PM","21"
"Lewis Miley","NEW","M","Drop","Athletic Club Bapao","","1","Fri Jan 5, 2024, 12:00PM","21"
"Willian","FUL","M,F","Claim","One Season Wonderers","16.00","1","Fri Jan 5, 2024, 12:00PM","21"
"Andreas Pereira","FUL","M","Drop","One Season Wonderers","","1","Fri Jan 5, 2024, 12:00PM","21"
"Diego Carlos","AVL","D","Claim","Redford United","3.00","1","Fri Jan 5, 2024, 12:00PM","21"
"Marcos Senesi","BOU","D","Drop","Redford United","","1","Fri Jan 5, 2024, 12:00PM","21"
"James Trafford","BUR","G","Claim","Nimma Koempels","0.00","1","Fri Jan 5, 2024, 12:00PM","21"
"Mark Flekken","BRF","G","Drop","Nimma Koempels","","1","Fri Jan 5, 2024, 12:00PM","21"
"Nathan Ake","MCI","D","Claim","Poor Man's Pirlo","0.00","11","Fri Dec 29, 2023, 12:00PM","20"
"Issa Diop","FUL","D","Drop","Poor Man's Pirlo","","11","Fri Dec 29, 2023, 12:00PM","20"
"Josko Gvardiol","MCI","D","Claim","Nimma Koempels","0.00","10","Fri Dec 29, 2023, 12:00PM","20"
"Amari'i Bell","LUT","D,M","Drop","Nimma Koempels","","10","Fri Dec 29, 2023, 12:00PM","20"
"Joao Gomes","WOL","M","Claim","Wilton Wankers","0.00","1","Fri Dec 29, 2023, 12:00PM","20"
"Jeffrey Schlupp","CRY","M,F","Drop","Wilton Wankers","","1","Fri Dec 29, 2023, 12:00PM","20"
"Julio Enciso","BHA","M,F","Claim","Poor Man's Pirlo","0.00","5","Fri Dec 29, 2023, 12:00PM","20"
"Jean-Ricner Bellegarde","WOL","M,F","Drop","Poor Man's Pirlo","","5","Fri Dec 29, 2023, 12:00PM","20"
"Saman Ghoddos","BRF","D,M,F","Claim","Nimma Koempels","0.00","2","Fri Dec 29, 2023, 12:00PM","20"
"Lewis Cook","BOU","M","Drop","Nimma Koempels","","2","Fri Dec 29, 2023, 12:00PM","20"
"Michael Keane","EVE","D","Claim","Redford United","1.00","3","Fri Dec 29, 2023, 12:00PM","20"
"Harry Maguire","MUN","D","Drop","Redford United","","3","Fri Dec 29, 2023, 12:00PM","20"
"Igor Julio","BHA","D","Claim","Sjeeterboys","2.00","3","Fri Dec 29, 2023, 12:00PM","20"
"Konstantinos Tsimikas","LIV","D","Drop","Sjeeterboys","","3","Fri Dec 29, 2023, 12:00PM","20"
"Alex Scott","BOU","M","Claim","Klimmania","4.00","10","Fri Dec 29, 2023, 12:00PM","20"
"Nelson Semedo","WOL","D,M","Drop","Klimmania","","10","Fri Dec 29, 2023, 12:00PM","20"
"Christian Eriksen","MUN","M","Claim","Mövenpickje FC","10.00","3","Fri Dec 29, 2023, 12:00PM","20"
"Sofyan Amrabat","MUN","M","Drop","Mövenpickje FC","","3","Fri Dec 29, 2023, 12:00PM","20"
"Jean-Philippe Mateta","CRY","F","Claim","NOAD Athletic","8.00","4","Fri Dec 29, 2023, 12:00PM","20"
"Pablo Sarabia","WOL","M,F","Drop","NOAD Athletic","","4","Fri Dec 29, 2023, 12:00PM","20"
"Dean Henderson","MUN/CRY","G","Claim","Poor Man's Pirlo","3.00","4","Fri Dec 29, 2023, 12:00PM","20"
"Bernd Leno","FUL","G","Drop","Poor Man's Pirlo","","4","Fri Dec 29, 2023, 12:00PM","20"
"Jordan Pickford","EVE","G","Claim","Mövenpickje FC","3.00","1","Fri Dec 29, 2023, 12:00PM","20"
"Wes Foderingham","SHU","G","Drop","Mövenpickje FC","","1","Fri Dec 29, 2023, 12:00PM","20"
"Malo Gusto","CHE","D,M","Claim","NOAD Athletic","17.00","1","Fri Dec 29, 2023, 12:00PM","20"
"Joel Veltman","BHA","D","Drop","NOAD Athletic","","1","Fri Dec 29, 2023, 12:00PM","20"
"Jack Hinshelwood","BHA","D,M","Claim","Athletic Club Bapao","21.00","1","Fri Dec 29, 2023, 12:00PM","20"
"Giovani Lo Celso","TOT","M","Drop","Athletic Club Bapao","","1","Fri Dec 29, 2023, 12:00PM","20"
"Joseph Gomez","LIV","D","Claim","Klimmania","38.00","4","Fri Dec 29, 2023, 12:00PM","20"
"Jamaal Lascelles","NEW","D","Drop","Klimmania","","4","Fri Dec 29, 2023, 12:00PM","20"
"Chris Wood","NOT","F","Claim","Klimmania","71.00","1","Fri Dec 29, 2023, 12:00PM","20"
"Willian","FUL","M,F","Drop","Klimmania","","1","Fri Dec 29, 2023, 12:00PM","20"
"Kobbie Mainoo","MUN","M","Claim","Redford United","1.00","1","Fri Dec 29, 2023, 12:00PM","20"
"Scott McTominay","MUN","M","Drop","Redford United","","1","Fri Dec 29, 2023, 12:00PM","20"
"Issa Diop","FUL","D","Claim","Poor Man's Pirlo","10.00","3","Fri Dec 22, 2023, 12:00PM","19"
"Gustavo Hamer","SHU","M,F","Drop","Poor Man's Pirlo","","3","Fri Dec 22, 2023, 12:00PM","19"
"Mark Flekken","BRF","G","Claim","Nimma Koempels","0.00","7","Fri Dec 22, 2023, 12:00PM","19"
"Jordan Pickford","EVE","G","Drop","Nimma Koempels","","7","Fri Dec 22, 2023, 12:00PM","19"
"Lyle Foster","BUR","M,F","Claim","Poor Man's Pirlo","5.00","2","Fri Dec 22, 2023, 12:00PM","19"
"Antoine Semenyo","BOU","M,F","Drop","Poor Man's Pirlo","","2","Fri Dec 22, 2023, 12:00PM","19"
"Djordje Petrovic","CHE","G","Claim","BarcelOna '53","13.00","1","Fri Dec 22, 2023, 12:00PM","19"
"Thomas Kaminski","LUT","G","Drop","BarcelOna '53","","1","Fri Dec 22, 2023, 12:00PM","19"
"Pablo Sarabia","WOL","M,F","Claim","NOAD Athletic","8.00","1","Fri Dec 22, 2023, 12:00PM","19"
"Bryan Mbeumo","BRF","M,F","Drop","NOAD Athletic","","1","Fri Dec 22, 2023, 12:00PM","19"
"Lewis Miley","NEW","M","Claim","Athletic Club Bapao","18.00","1","Fri Dec 22, 2023, 12:00PM","19"
"Carlton Morris","LUT","F","Drop","Athletic Club Bapao","","1","Fri Dec 22, 2023, 12:00PM","19"
"Willy Boly","NOT","D","Claim","BarcelOna '53","21.00","3","Fri Dec 22, 2023, 12:00PM","19"
"Leon Bailey","AVL","M,F","Drop","BarcelOna '53","","3","Fri Dec 22, 2023, 12:00PM","19"
"Lisandro Martinez","MUN","D","Claim","Wilton Wankers","0.00","1","Fri Dec 22, 2023, 12:00PM","19"
"Reece James","CHE","D,M","Drop","Wilton Wankers","","1","Fri Dec 22, 2023, 12:00PM","19"
"Anel Ahmedhodzic","SHU","D","Claim","Klimmania","6.00","1","Fri Dec 22, 2023, 12:00PM","19"
"Justin Kluivert","BOU","M,F","Drop","Klimmania","","1","Fri Dec 22, 2023, 12:00PM","19"
"Sander Berge","BUR","M","Claim","Redford United","1.00","1","Fri Dec 22, 2023, 12:00PM","19"
"Will Hughes","CRY","M","Drop","Redford United","","1","Fri Dec 22, 2023, 12:00PM","19"
"Amari'i Bell","LUT","D,M","Claim","Nimma Koempels","0.00","1","Fri Dec 22, 2023, 12:00PM","19"
"Jacob Brown","LUT","F","Drop","Nimma Koempels","","1","Fri Dec 22, 2023, 12:00PM","19"
"Lewis Cook","BOU","M","Claim","Nimma Koempels","3.00","4","Fri Dec 15, 2023, 12:00PM","17"
"Oliver Norwood","SHU","M","Drop","Nimma Koempels","","4","Fri Dec 15, 2023, 12:00PM","17"
"Jacob Brown","LUT","F","Claim","Nimma Koempels","0.00","3","Fri Dec 15, 2023, 12:00PM","17"
"Ansu Fati","BHA","M,F","Drop","Nimma Koempels","","3","Fri Dec 15, 2023, 12:00PM","17"
"Thomas Kaminski","LUT","G","Claim","BarcelOna '53","1.00","2","Fri Dec 15, 2023, 12:00PM","17"
"Alphonse Areola","WHU","G","Drop","BarcelOna '53","","2","Fri Dec 15, 2023, 12:00PM","17"
"Tom Cairney","FUL","M","Claim","Mövenpickje FC","11.00","3","Fri Dec 15, 2023, 12:00PM","17"
"Nathan Ake","MCI","D","Drop","Mövenpickje FC","","3","Fri Dec 15, 2023, 12:00PM","17"
"Benoit Badiashile","CHE","D","Claim","NOAD Athletic","8.00","3","Fri Dec 15, 2023, 12:00PM","17"
"Kenny Tete","FUL","D","Drop","NOAD Athletic","","3","Fri Dec 15, 2023, 12:00PM","17"
"Marcos Senesi","BOU","D","Claim","One Season Wonderers","11.00","1","Fri Dec 15, 2023, 12:00PM","17"
"Manuel Akanji","MCI","D,M","Drop","One Season Wonderers","","1","Fri Dec 15, 2023, 12:00PM","17"
"Alex Moreno","AVL","D","Claim","Athletic Club Bapao","8.00","1","Fri Dec 15, 2023, 12:00PM","17"
"Facundo Buonanotte","BHA","M,F","Drop","Athletic Club Bapao","","1","Fri Dec 15, 2023, 12:00PM","17"
"Dan Burn","NEW","D","Claim","Mövenpickje FC","85.00","2","Fri Dec 15, 2023, 12:00PM","17"
"Tyrick Mitchell","CRY","D,M","Drop","Mövenpickje FC","","2","Fri Dec 15, 2023, 12:00PM","17"
"Casemiro","MUN","D,M","Claim","NOAD Athletic","17.00","1","Fri Dec 15, 2023, 12:00PM","17"
"Zeki Amdouni","BUR","M,F","Drop","NOAD Athletic","","1","Fri Dec 15, 2023, 12:00PM","17"
"Wes Foderingham","SHU","G","Claim","Mövenpickje FC","2.00","1","Fri Dec 15, 2023, 12:00PM","17"
"Robert Sanchez","CHE","G","Drop","Mövenpickje FC","","1","Fri Dec 15, 2023, 12:00PM","17"
"Tosin Adarabioyo","FUL","D","Claim","Sjeeterboys","17.00","1","Fri Dec 15, 2023, 12:00PM","17"
"Valentino Livramento","NEW","D","Drop","Sjeeterboys","","1","Fri Dec 15, 2023, 12:00PM","17"
"Axel Disasi","CHE","D","Claim","Wilton Wankers","0.00","5","Fri Dec 8, 2023, 12:00PM","16"
"Takehiro Tomiyasu","ARS","D","Drop","Wilton Wankers","","5","Fri Dec 8, 2023, 12:00PM","16"
"Zeki Amdouni","BUR","M,F","Claim","NOAD Athletic","3.00","6","Fri Dec 8, 2023, 12:00PM","16"
"Aaron Wan-Bissaka","MUN","D","Drop","NOAD Athletic","","6","Fri Dec 8, 2023, 12:00PM","16"
"Andreas Pereira","FUL","M","Claim","One Season Wonderers","12.00","3","Fri Dec 8, 2023, 12:00PM","16"
"Joe Willock","NEW","M","Drop","One Season Wonderers","","3","Fri Dec 8, 2023, 12:00PM","16"
"Richarlison","TOT","M,F","Claim","Sjeeterboys","5.00","3","Fri Dec 8, 2023, 12:00PM","16"
"Chris Wood","NOT","F","Drop","Sjeeterboys","","3","Fri Dec 8, 2023, 12:00PM","16"
"Jack Grealish","MCI","M,F","Claim","BarcelOna '53","5.00","7","Fri Dec 8, 2023, 12:00PM","16"
"Jack Harrison","LEE/EVE","M,F","Drop","BarcelOna '53","","7","Fri Dec 8, 2023, 12:00PM","16"
"Justin Kluivert","BOU","M,F","Claim","Klimmania","9.00","4","Fri Dec 8, 2023, 12:00PM","16"
"Chiedozie Ogbene","LUT","M,F","Drop","Klimmania","","4","Fri Dec 8, 2023, 12:00PM","16"
"Anthony Elanga","NOT","M,F","Claim","Wilton Wankers","0.00","4","Fri Dec 8, 2023, 12:00PM","16"
"Cody Gakpo","LIV","M,F","Drop","Wilton Wankers","","4","Fri Dec 8, 2023, 12:00PM","16"
"Facundo Buonanotte","BHA","M,F","Claim","Athletic Club Bapao","14.00","3","Fri Dec 8, 2023, 12:00PM","16"
"Emerson Royal","TOT","D,M","Drop","Athletic Club Bapao","","3","Fri Dec 8, 2023, 12:00PM","16"
"Alphonse Areola","WHU","G","Claim","BarcelOna '53","1.00","3","Fri Dec 8, 2023, 12:00PM","16"
"Nick Pope","NEW","G","Drop","BarcelOna '53","","3","Fri Dec 8, 2023, 12:00PM","16"
"Neto","BOU","G","Claim","One Season Wonderers","5.00","1","Fri Dec 8, 2023, 12:00PM","16"
"Jose Sa","WOL","G","Drop","One Season Wonderers","","1","Fri Dec 8, 2023, 12:00PM","16"
"Raul Jimenez","FUL","F","Claim","Redford United","35.00","1","Fri Dec 8, 2023, 12:00PM","16"
"Lewis Cook","BOU","M","Drop","Redford United","","1","Fri Dec 8, 2023, 12:00PM","16"
"Leon Bailey","AVL","M,F","Claim","Poor Man's Pirlo","25.00","2","Fri Dec 8, 2023, 12:00PM","16"
"Murillo","NOT","D,M","Drop","Poor Man's Pirlo","","2","Fri Dec 8, 2023, 12:00PM","16"
"Alejandro Garnacho","MUN","M,F","Claim","Wilton Wankers","11.00","1","Fri Dec 8, 2023, 12:00PM","16"
"Eddie Nketiah","ARS","F","Drop","Wilton Wankers","","1","Fri Dec 8, 2023, 12:00PM","16"
"Diogo Dalot","MUN","D","Claim","BarcelOna '53","41.00","5","Fri Dec 8, 2023, 12:00PM","16"
"Kristoffer Ajer","BRF","D","Drop","BarcelOna '53","","5","Fri Dec 8, 2023, 12:00PM","16"
"Antony","MUN","M,F","Claim","NOAD Athletic","15.00","1","Fri Dec 8, 2023, 12:00PM","16"
"Philip Billing","BOU","M,F","Drop","NOAD Athletic","","1","Fri Dec 8, 2023, 12:00PM","16"
"Nelson Semedo","WOL","D,M","Claim","Klimmania","9.00","1","Fri Dec 8, 2023, 12:00PM","16"
"Nicolas Dominguez","NOT","M","Drop","Klimmania","","1","Fri Dec 8, 2023, 12:00PM","16"
"Martin Dubravka","NEW","G","Claim","Sjeeterboys","26.00","1","Fri Dec 8, 2023, 12:00PM","16"
"Mark Flekken","BRF","G","Drop","Sjeeterboys","","1","Fri Dec 8, 2023, 12:00PM","16"
"Andre Onana","MUN","G","Claim","Wilton Wankers","0.00","9","Fri Dec 1, 2023, 12:00PM","14"
"Sam Johnstone","CRY","G","Drop","Wilton Wankers","","9","Fri Dec 1, 2023, 12:00PM","14"
"Jeffrey Schlupp","CRY","M,F","Claim","Wilton Wankers","0.00","4","Fri Dec 1, 2023, 12:00PM","14"
"Antony","MUN","M,F","Drop","Wilton Wankers","","4","Fri Dec 1, 2023, 12:00PM","14"
"Ben Chilwell","CHE","D,M","Claim","BarcelOna '53","10.00","7","Fri Dec 1, 2023, 12:00PM","14"
"Eric Dier","TOT","D","Drop","BarcelOna '53","","7","Fri Dec 1, 2023, 12:00PM","14"
"Chris Wood","NOT","F","Claim","Sjeeterboys","1.00","7","Fri Dec 1, 2023, 12:00PM","14"
"Jack Grealish","MCI","M,F","Drop","Sjeeterboys","","7","Fri Dec 1, 2023, 12:00PM","14"
"Takehiro Tomiyasu","ARS","D","Claim","Wilton Wankers","0.00","1","Fri Dec 1, 2023, 12:00PM","14"
"Anel Ahmedhodzic","SHU","D","Drop","Wilton Wankers","","1","Fri Dec 1, 2023, 12:00PM","14"
"Valentino Livramento","NEW","D","Claim","Sjeeterboys","12.00","4","Fri Dec 1, 2023, 12:00PM","14"
"Rodrigo Bentancur","TOT","M","Drop","Sjeeterboys","","4","Fri Dec 1, 2023, 12:00PM","14"
"Mark Flekken","BRF","G","Claim","Sjeeterboys","2.00","3","Fri Dec 1, 2023, 12:00PM","14"
"Odysseas Vlachodimos","NOT","G","Drop","Sjeeterboys","","3","Fri Dec 1, 2023, 12:00PM","14"
"Oliver Norwood","SHU","M","Claim","Nimma Koempels","0.00","9","Fri Dec 1, 2023, 12:00PM","14"
"Diogo Dalot","MUN","D","Drop","Nimma Koempels","","9","Fri Dec 1, 2023, 12:00PM","14"
"Jan-Paul van Hecke","BHA","D","Claim","BarcelOna '53","21.00","2","Fri Dec 1, 2023, 12:00PM","14"
"Marc Cucurella","CHE","D,M","Drop","BarcelOna '53","","2","Fri Dec 1, 2023, 12:00PM","14"
"Youri Tielemans","AVL","M,F","Claim","Redford United","5.00","3","Fri Dec 1, 2023, 12:00PM","14"
"Neto","BOU","G","Drop","Redford United","","3","Fri Dec 1, 2023, 12:00PM","14"
